sample_name	unit_name	fq1
TRAIP-T0	L001	/home/david/Dropbox/work/toy_crispr_fq/TRAIP-T0_S2_L001_R1_001.fastq.gz
TRAIP-T0	L002	/home/david/Dropbox/work/toy_crispr_fq/TRAIP-T0_S2_L002_R1_001.fastq.gz
TRAIP-T18A	L001	/home/david/Dropbox/work/toy_crispr_fq/TRAIP-T18A_S7_L001_R1_001.fastq.gz
TRAIP-T18A	L002	/home/david/Dropbox/work/toy_crispr_fq/TRAIP-T18A_S7_L002_R1_001.fastq.gz
TRAIP-T18B	L001	/home/david/Dropbox/work/toy_crispr_fq/TRAIP-T18B_S8_L001_R1_001.fastq.gz
TRAIP-T18B	L002	/home/david/Dropbox/work/toy_crispr_fq/TRAIP-T18B_S8_L002_R1_001.fastq.gz
TRAIP-T27A	L001	/home/david/Dropbox/work/toy_crispr_fq/TRAIP-T27A_S9_L001_R1_001.fastq.gz
TRAIP-T27A	L002	/home/david/Dropbox/work/toy_crispr_fq/TRAIP-T27A_S9_L002_R1_001.fastq.gz
TRAIP-T27B	L001	/home/david/Dropbox/work/toy_crispr_fq/TRAIP-T27B_S10_L001_R1_001.fastq.gz
TRAIP-T27B	L002	/home/david/Dropbox/work/toy_crispr_fq/TRAIP-T27B_S10_L002_R1_001.fastq.gz
TRAIP-T30A	L001	/home/david/Dropbox/work/toy_crispr_fq/TRAIP-T30A_S11_L001_R1_001.fastq.gz
TRAIP-T30A	L002	/home/david/Dropbox/work/toy_crispr_fq/TRAIP-T30A_S11_L002_R1_001.fastq.gz
TRAIP-T30B	L001	/home/david/Dropbox/work/toy_crispr_fq/TRAIP-T30B_S12_L001_R1_001.fastq.gz
TRAIP-T30B	L002	/home/david/Dropbox/work/toy_crispr_fq/TRAIP-T30B_S12_L002_R1_001.fastq.gz
WT-T0	L001	/home/david/Dropbox/work/toy_crispr_fq/WT-T0_S1_L001_R1_001.fastq.gz
WT-T0	L002	/home/david/Dropbox/work/toy_crispr_fq/WT-T0_S1_L002_R1_001.fastq.gz
WT-T12A	L001	/home/david/Dropbox/work/toy_crispr_fq/WT-T12A_S3_L001_R1_001.fastq.gz
WT-T12A	L002	/home/david/Dropbox/work/toy_crispr_fq/WT-T12A_S3_L002_R1_001.fastq.gz
WT-T12B	L001	/home/david/Dropbox/work/toy_crispr_fq/WT-T12B_S4_L001_R1_001.fastq.gz
WT-T12B	L002	/home/david/Dropbox/work/toy_crispr_fq/WT-T12B_S4_L002_R1_001.fastq.gz
WT-T21A	L001	/home/david/Dropbox/work/toy_crispr_fq/WT-T21A_S5_L001_R1_001.fastq.gz
WT-T21A	L002	/home/david/Dropbox/work/toy_crispr_fq/WT-T21A_S5_L002_R1_001.fastq.gz
WT-T21B	L001	/home/david/Dropbox/work/toy_crispr_fq/WT-T21B_S6_L001_R1_001.fastq.gz
WT-T21B	L002	/home/david/Dropbox/work/toy_crispr_fq/WT-T21B_S6_L002_R1_001.fastq.gz
